Request ,BusinessUnit,
"""FF0T-002U13-E991* AND businessUnit_s:Accu-Tech AND shipLocation_s:15625 AND advancedPartSearch:Y AND businessUnit_s:Accu-Tech"", ""userName_s"": """", ""refNum_s"": ""100012447""",TRUE,
"""2413_009U1000 AND shipLocation_s:14112 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""210280"", ""refNum_s"": ""619310""",TRUE,
"""Please AND shipLocation_s:12114 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""320729"", ""refNum_s"": ""619928""",TRUE,
"""6110G-RL6 AND shipLocation_s:12702 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""323615"", ""refNum_s"": ""619981""",TRUE,
"""cch-cp06-59 AND shipLocation_s:13603 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""236163"", ""refNum_s"": ""619674""",TRUE,
"""CCH-01U AND shipLocation_s:11726 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""327898"", ""refNum_s"": ""616472""",TRUE,
"""MC6-10-08 AND shipLocation_s:12304 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""233642"", ""refNum_s"": ""619598""",TRUE,
"""BLK100FTK4 AND shipLocation_s:14205 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""230516"", ""refNum_s"": ""619932""",TRUE,
"""unj10g-262* AND businessUnit_s:Accu-Tech AND shipLocation_s:12702 AND advancedPartSearch:Y AND businessUnit_s:Accu-Tech"", ""userName_s"": """", ""refNum_s"": ""100012447""",TRUE,
"""fan-bt AND shipLocation_s:14802 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""208873"", ""refNum_s"": ""619925""",TRUE,
"""UTPSP AND businessUnit_s:Accu-Tech"", ""userName_s"": ""230516"", ""refNum_s"": """"",TRUE,
"""s200x150vaty* AND businessUnit_s:Accu-Tech AND shipLocation_s:13429 AND advancedPartSearch:Y AND businessUnit_s:Accu-Tech"", ""userName_s"": """", ""refNum_s"": ""100012447""",TRUE,
"""760237778* AND salesLocation_s:61961 AND shipLocation_s:16011 AND customerAccount_s:AC0163-3722 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""Marlon Doppe"", ""refNum_s"": """"",TRUE,
"""lve-1u-md-t AND shipLocation_s:15625 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""239937"", ""refNum_s"": ""619814""",TRUE,
"""165OR4a AND businessUnit_s:Accu-Tech"", ""userName_s"": ""238684"", ""refNum_s"": """"",TRUE,
"""MCTP6I-6-7* AND salesLocation_s:62681 AND shipLocation_s:14611 AND customerAccount_s:AC0158-9292 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""Joshua Luffman"", ""refNum_s"": """"",TRUE,
"""ch100b* AND salesLocation_s:60608 AND shipLocation_s:12008 AND customerAccount_s:AC0084-1801 AND dcLocation_s:7305 AND businessUnit_s:WESCO"", ""userName_s"": ""Noah Gelman"", ""refNum_s"": """"",FALSE,
"""L9090EU* AND businessUnit_s:Accu-Tech AND shipLocation_s:16011 AND advancedPartSearch:Y AND businessUnit_s:Accu-Tech"", ""userName_s"": """", ""refNum_s"": ""100012447""",TRUE,
"""7075gsr* AND salesLocation_s:60608 AND shipLocation_s:12008 AND customerAccount_s:AC0084-1801 AND dcLocation_s:7305 AND businessUnit_s:WESCO"", ""userName_s"": ""Noah Gelman"", ""refNum_s"": """"",FALSE,
"""35572-703* AND businessUnit_s:Accu-Tech AND shipLocation_s:12702 AND advancedPartSearch:Y AND businessUnit_s:Accu-Tech"", ""userName_s"": """", ""refNum_s"": ""100012447""",TRUE,
"""3cx4000 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""212564"", ""refNum_s"": """"",TRUE,
"""CAT6A-03-GRB AND shipLocation_s:12304 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""233642"", ""refNum_s"": ""619598""",TRUE,
"""55053-703 AND shipLocation_s:15642 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""301951"", ""refNum_s"": ""619653""",TRUE,
"""6110G-RV6* AND businessUnit_s:Accu-Tech AND shipLocation_s:16043 AND advancedPartSearch:Y AND businessUnit_s:Accu-Tech"", ""userName_s"": """", ""refNum_s"": ""100012447""",TRUE,
"""cs34 AND shipLocation_s:14802 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""326020"", ""refNum_s"": ""618642""",TRUE,
"""6H460-15R* AND salesLocation_s:69609 AND shipLocation_s:12702 AND customerAccount_s:AC0161-1369 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""Ryan Punsalan"", ""refNum_s"": """"",TRUE,
"""AX103115 AND shipLocation_s:15625 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""305059"", ""refNum_s"": ""619632""",TRUE,
"""12_fiber AND shipLocation_s:13417 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""323948"", ""refNum_s"": ""577629""",TRUE,
"""787802GD1AP031M* AND salesLocation_s:60373 AND shipLocation_s:13429 AND customerAccount_s:AC0159-0721 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""Alison Moody"", ""refNum_s"": """"",TRUE,
"""*:* AND transPartOrFilter:(transactablePart_s:BE7238799 OR transactablePart_s:BE74Y9236) AND salesLocation_s:60608 AND shipLocation_s:12008 AND dcLocation_s:7305 AND customerAccount_s:AC0044-6503 AND businessUnit_s:WESCO"", ""userName_s"": ""matt trautman"", ""refNum_s"": ""100088387""",FALSE,
"""bc* AND salesLocation_s:62401 AND shipLocation_s:12601 AND customerAccount_s:AC0158-4005 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""Randy Schnepel"", ""refNum_s"": """"",TRUE,
"""jp2dw AND shipLocation_s:11726 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""329125"", ""refNum_s"": ""619563""",TRUE,
"""nk3fnwh* AND salesLocation_s:62473 AND shipLocation_s:13429 AND customerAccount_s:AC0158-6167 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""John-Riley Hathcock"", ""refNum_s"": """"",TRUE,
"""012e81-33131-a1 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""235882"", ""refNum_s"": """"",TRUE,
"""ksftp6* AND salesLocation_s:62474 AND shipLocation_s:13417 AND customerAccount_s:AC0196-3252 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""Liz Miller"", ""refNum_s"": """"",TRUE,
